0,1,2,3,4,5,6,7,8,9,10,11
-0.061355736,0.11236358,-0.19739819,-1.0930701,-1.1159898,-0.45343006,0.004390944,0.063323006,0.036801588,0.28963673,0.04126641,-0.8242425
-0.052982945,0.12529743,-0.3939861,-1.0506095,-0.95686144,-0.40594584,0.026687283,0.05206567,-0.10553346,0.32313508,0.10458213,-0.8608487
-0.050937314,0.15636383,-0.5446924,-0.970654,-0.8057143,-0.33046433,0.03186081,0.021858513,-0.23943083,0.32864934,0.16835843,-0.86993176
-0.06934777,0.16738942,-0.6518894,-0.89110005,-0.66509515,-0.2637412,0.017452363,-0.047271997,-0.3443027,0.30245966,0.1904304,-0.8427999
-0.073798075,0.17809704,-0.7824701,-0.732903,-0.43931317,-0.15292378,-0.0059269257,-0.14153768,-0.4574628,0.23676682,0.3275174,-0.65918136
-0.04497825,0.13572922,-0.83171314,-0.60217524,-0.27017117,-0.050877366,-0.007624734,-0.19752242,-0.56625545,0.313209,0.3779851,-0.51273
-0.06353721,0.03790967,-0.7862626,-0.49549726,-0.06816769,0.14445132,0.023601377,-0.268786,-0.6082116,0.37110263,0.5256146,-0.23443553
-0.10847554,-0.03818758,-0.5997125,-0.47229037,0.08218376,0.43452924,0.043821737,-0.28062296,-0.64379686,0.50158525,0.65051967,0.019233875
-0.13382368,-0.058075204,-0.24357271,-0.4492047,0.073884115,0.6987193,-0.027629193,-0.09454717,-0.46585682,0.56149304,0.7580246,0.29000914
-0.15250462,0.02756697,-0.032467306,-0.34517592,-0.08059932,0.85810906,0.004483655,0.040824473,-0.18190145,0.64899844,0.83904177,0.3765924
-0.10532592,0.042452984,0.11887637,-0.3736698,-0.12759247,0.9207108,-0.035025526,-0.0054042786,0.020069648,0.70080215,0.7975969,0.38113305
-0.09063107,0.017970651,0.090437524,-0.3295356,-0.20505062,0.9098554,-0.028366331,-0.011195332,0.14384052,0.75838,0.77645725,0.33429497
-0.06601701,-0.023716688,0.17329398,-0.30934823,-0.31560218,0.87940985,-0.020994332,-0.032882467,0.3203997,0.72967756,0.59551096,0.29959798
-0.057156477,0.0004567355,0.33396348,-0.42248827,-0.35720468,0.88903445,-0.01786495,-0.039308175,0.48590803,0.6401207,0.5137249,0.25059247
-0.07302068,0.04356479,0.43070197,-0.5289974,-0.4274649,0.85666114,-0.016133431,-0.05118878,0.6222284,0.48112512,0.36951166,0.19266331
-0.0639527,0.10994117,0.50311685,-0.5399518,-0.52547264,0.80677074,-0.01551592,-0.07185683,0.75843894,0.354972,0.22660936,0.15299243
-0.07391097,0.15882039,0.5653668,-0.57574856,-0.69483,0.62717134,-0.008144919,-0.040974595,0.9257023,0.28219944,0.089428075,0.06817125
-0.05447008,0.17282204,0.64581597,-0.64008063,-0.729073,0.5122324,-0.026871644,-0.017888516,0.992268,0.2475208,-0.050663665,0.017057903
-0.06525918,0.16429311,0.7151841,-0.77498674,-0.8389004,0.27747196,-0.014788624,0.05341223,0.96952766,0.25412768,-0.20130864,-0.14252225
